ds,y,moving_avg,yhat,yhat_lower,yhat_upper
2015-06-05,28.813329696655273,29.054318237304688,174.1043771544976,172.2795094436355,175.86683520525366
2015-06-08,28.622961044311523,28.931585693359374,174.24735306948878,172.54667528735823,175.9941486103526
2015-06-09,28.53785514831543,28.817809677124025,174.28617428835364,172.52327560653018,176.03441507132726
2015-06-10,28.864843368530273,28.762267303466796,174.323890224614,172.59954013410825,176.2036289215004
2015-06-11,28.799890518188477,28.727775955200194,174.26508579942018,172.50023883751288,176.01275262559
2015-06-12,28.481861114501953,28.66148223876953,174.15985881778025,172.46873266525787,175.9785797634525
2015-06-15,28.425872802734375,28.6220645904541,174.3188381931398,172.53010794636393,176.03009539283914
2015-06-16,28.578161239624023,28.63012580871582,174.36196236638276,172.6369505186242,176.14858814105244
2015-06-17,28.51097869873047,28.55935287475586,174.40570334167057,172.65842671709422,176.26675309368864
2015-06-18,28.640880584716797,28.527550888061523,174.35211293022365,172.52425905217925,176.14004717195655
2015-06-19,28.354198455810547,28.50201835632324,174.25121343669136,172.68774032992934,176.0099008954188
2015-06-22,28.580406188964844,28.532925033569335,174.41739508180888,172.68515843018213,176.15978258378888
2015-06-23,28.450502395629883,28.507393264770506,174.46093517011428,172.7916350908676,176.1399487808935
2015-06-24,28.692394256591797,28.543676376342773,174.5016765675759,172.7758110057822,176.21743313674259
2015-06-25,28.55577850341797,28.52665596008301,174.44414263408004,172.71597385802067,176.0724131515886
2015-06-26,28.387792587280273,28.533374786376953,174.33840216553224,172.64349449013068,176.09038614626132
2015-06-29,27.890588760375977,28.39541130065918,174.48530403878706,172.72393063375296,176.1940923698375
2015-06-30,28.0921573638916,28.323742294311522,174.52108294645925,172.67427268011517,176.2713532919162
2015-07-01,28.354198455810547,28.256103134155275,174.55353657270024,172.99327298072848,176.22131368005378
2015-07-02,28.318361282348633,28.208619689941408,174.48727897407886,172.77214997975142,176.21544627947404
2015-07-06,28.219820022583008,28.175025177001952,174.49108462258474,172.84476012145905,176.30663417304285
2015-07-07,28.150392532348633,28.226985931396484,174.51739876886387,172.83379998450982,176.34339098889714
2015-07-08,27.451614379882812,28.098877334594725,174.540538458159,172.73166644735494,176.35298137210785
2015-07-09,26.89169692993164,27.806377029418947,174.4652212955397,172.68956625695495,176.37004269364107
2015-07-10,27.610626220703125,27.664830017089844,174.34171505881923,172.64006458685972,176.0726696736422
2015-07-13,28.143672943115234,27.64960060119629,174.4374739895435,172.7445353457446,176.1147613048898
2015-07-14,28.132478713989258,27.646017837524415,174.45762312522913,172.696919862897,176.06257222544124
2015-07-15,28.403472900390625,27.836389541625977,174.47551196393715,172.77136216028148,176.12916521827802
2015-07-16,28.781978607177734,28.214445877075196,174.39596999221362,172.52849937775252,176.13133852493587
2015-07-17,29.030576705932617,28.498435974121094,174.2693741554958,172.67706866500524,176.12520319662883
2015-07-20,29.579309463500977,28.785563278198243,174.3636797599622,172.59612922775122,176.11098165761166
2015-07-21,29.283660888671875,29.015799713134765,174.38623625100922,172.68912897678297,176.02038637006865
2015-07-22,28.045129776000977,28.944131088256835,174.40808678445046,172.701961423853,176.1775473220025
